Customer ID,Recency,Frequency,Monetary,UniqueProducts,TotalItems,Tenure,AvgOrderValue,AvgItemsPerOrder,PurchaseRate,Churned
12346,145,3,77352.96,25,74239,466,25784.320000000003,24746.333333333332,0.006437768240343348,1
12347,2,5,3529.27,101,2141,223,705.854,428.2,0.02242152466367713,0
12348,68,4,1388.3999999999999,24,2488,257,347.09999999999997,622.0,0.01556420233463035,0
12349,227,2,2221.14,89,991,408,1110.57,495.5,0.004901960784313725,0
12350,129,1,294.4,16,196,129,294.4,196.0,0.007751937984496124,1
12351,194,1,300.93,21,261,194,300.93,261.0,0.005154639175257732,1
12352,81,6,985.3100000000001,36,437,212,164.21833333333333,72.83333333333333,0.02830188679245283,0
12353,23,2,406.76,23,212,228,203.38,106.0,0.008771929824561403,1
12354,51,1,1079.4,58,530,51,1079.4,530.0,0.0196078431372549,1
12355,33,2,947.61,35,543,387,473.805,271.5,0.00516795865633075,1
12356,65,5,5553.38,103,3371,244,1110.676,674.2,0.020491803278688523,0
12357,208,1,11229.99,164,3878,208,11229.99,3878.0,0.004807692307692308,0
12358,195,3,2519.01,51,826,551,839.6700000000001,275.3333333333333,0.0054446460980036296,0
12359,9,9,6059.09,230,2095,553,673.2322222222223,232.77777777777777,0.0162748643761302,0
12360,20,4,2234.41,107,1717,475,558.6025,429.25,0.008421052631578947,0
12361,106,4,451.25,17,231,501,112.8125,57.75,0.007984031936127744,1
12362,45,2,884.34,51,498,115,442.17,249.0,0.017391304347826087,0
12363,61,1,299.1,16,282,61,299.1,282.0,0.01639344262295082,0
12365,110,1,320.69,21,173,110,320.69,173.0,0.00909090909090909,1
12366,453,1,500.24,3,296,453,500.24,296.0,0.002207505518763797,1
12368,447,1,917.6999999999999,18,330,447,917.6999999999999,330.0,0.0022371364653243847,1
12369,232,3,1511.15,89,1234,461,503.7166666666667,411.3333333333333,0.006507592190889371,1
12370,94,6,3217.28,149,2215,488,536.2133333333334,369.1666666666667,0.012295081967213115,0
12371,228,3,1819.42,90,836,464,606.4733333333334,278.6666666666667,0.00646551724137931,0
12372,32,2,842.9200000000001,31,588,116,421.46000000000004,294.0,0.017241379310344827,0
12373,130,3,927.6500000000001,35,511,493,309.2166666666667,170.33333333333334,0.006085192697768763,1
12374,241,2,2046.29,46,1015,407,1023.145,507.5,0.004914004914004914,0
12376,209,2,383.15,10,237,237,191.575,118.5,0.008438818565400843,1
12377,134,4,3266.32,128,2101,408,816.58,525.25,0.00980392156862745,1
12378,381,1,1407.7,82,787,381,1407.7,787.0,0.0026246719160104987,0
12379,241,2,692.98,36,403,354,346.49,201.5,0.005649717514124294,0
12380,5,5,5345.39,123,2494,482,1069.078,498.8,0.01037344398340249,0
12383,4,5,1628.56,83,1518,171,325.712,303.6,0.029239766081871343,1
12385,198,1,1668.4,64,594,198,1668.4,594.0,0.005050505050505051,1
12386,157,2,660.8,10,568,186,330.4,284.0,0.010752688172043012,1
12387,234,1,143.94,9,134,234,143.94,134.0,0.004273504273504274,1
12388,94,5,1886.7,52,870,401,377.34000000000003,174.0,0.012468827930174564,0
12389,222,3,1433.33,41,614,475,477.77666666666664,204.66666666666666,0.00631578947368421,1
12391,284,5,2285.18,159,911,482,457.03599999999994,182.2,0.01037344398340249,0
12392,410,1,234.75000000000003,7,73,410,234.75000000000003,73.0,0.0024390243902439024,1
12393,65,5,1877.95,53,1017,247,375.59000000000003,203.4,0.020242914979757085,0
12394,36,1,351.08,20,180,36,351.08,180.0,0.027777777777777776,0
12395,31,9,3258.36,116,3084,422,362.04,342.6666666666667,0.02132701421800948,0
12396,493,1,931.43,65,591,493,931.43,591.0,0.002028397565922921,1
12399,2,6,1647.68,57,2016,464,274.61333333333334,336.0,0.01293103448275862,0
12400,233,1,205.25,11,91,233,205.25,91.0,0.004291845493562232,1
12401,122,1,69.3,4,10,122,69.3,10.0,0.00819672131147541,1
12402,142,6,1136.9,42,576,490,189.48333333333335,96.0,0.012244897959183673,1
12403,341,1,555.6600000000001,3,162,341,555.6600000000001,162.0,0.002932551319648094,0
12406,3,4,4596.31,81,2391,516,1149.0775,597.75,0.007751937984496124,0
12407,55,2,450.96,22,416,83,225.48,208.0,0.024096385542168676,0
12408,79,5,2049.81,65,1160,317,409.962,232.0,0.015772870662460567,0
12409,2,5,18553.7,165,10734,384,3710.7400000000002,2146.8,0.013020833333333334,0
12410,128,3,773.71,35,335,321,257.90333333333336,111.66666666666667,0.009345794392523364,1
12411,229,1,346.9,22,138,229,346.9,138.0,0.004366812227074236,1
12412,221,3,1262.05,49,1162,358,420.68333333333334,387.3333333333333,0.008379888268156424,0
12413,55,3,695.25,36,233,221,231.75,77.66666666666667,0.013574660633484163,0
12414,36,4,532.41,19,489,283,133.1025,122.25,0.014134275618374558,1
12415,22,10,70002.74,293,46068,347,7000.274,4606.8,0.02881844380403458,0
12416,476,1,202.56,11,132,476,202.56,132.0,0.0021008403361344537,1
12417,6,16,4436.58,209,1990,553,277.28625,124.375,0.028933092224231464,0
12418,233,3,1352.62,61,681,449,450.8733333333333,227.0,0.0066815144766146995,0
12419,205,2,391.01,22,227,233,195.505,113.5,0.008583690987124463,1
12421,138,3,365.01,26,269,324,121.67,89.66666666666667,0.009259259259259259,0
12422,144,10,3194.29,111,2325,541,319.429,232.5,0.018484288354898338,0
12423,11,8,1953.77,112,1424,285,244.22125,178.0,0.028070175438596492,0
12424,242,2,1579.07,59,1285,367,789.535,642.5,0.005449591280653951,0
12425,267,1,964.21,55,651,267,964.21,651.0,0.003745318352059925,0
12426,14,2,1201.21,72,576,482,600.605,288.0,0.004149377593360996,1
12427,191,1,499.0,9,152,191,499.0,152.0,0.005235602094240838,0
12428,62,5,5119.34,226,2755,103,1023.868,551.0,0.04854368932038835,0
12429,47,6,5110.99,85,2421,365,851.8316666666666,403.5,0.01643835616438356,0
12431,20,17,7161.55,197,3055,513,421.2676470588235,179.7058823529412,0.03313840155945419,0
12433,185,5,10992.51,163,9627,296,2198.502,1925.4,0.016891891891891893,0
12434,79,2,583.54,34,215,200,291.77,107.5,0.01,0
12435,87,5,10075.03,81,3782,556,2015.006,756.4,0.008992805755395683,0
12437,18,28,8594.08,227,6300,556,306.93142857142857,225.0,0.050359712230215826,0
12439,502,2,1142.88,69,478,545,571.44,239.0,0.003669724770642202,1
12440,281,2,739.2,20,328,537,369.6,164.0,0.0037243947858473,1
12441,186,1,311.1,10,240,186,311.1,240.0,0.005376344086021506,1
12443,551,1,365.31,20,179,551,365.31,179.0,0.0018148820326678765,1
12445,240,1,301.58000000000004,20,144,240,301.58000000000004,144.0,0.004166666666666667,0
12447,62,1,431.49,25,187,62,431.49,187.0,0.016129032258064516,1
12449,6,2,1447.53,56,1108,258,723.765,554.0,0.007751937984496124,0
12450,218,3,490.32,25,314,293,163.44,104.66666666666667,0.010238907849829351,0
12451,37,5,8942.18,259,6889,348,1788.4360000000001,1377.8,0.014367816091954023,0
12454,215,3,12931.44,8,6696,240,4310.4800000000005,2232.0,0.0125,0
12455,9,6,5303.39,167,2839,541,883.8983333333334,473.1666666666667,0.011090573012939002,0
12456,74,1,780.17,40,441,74,780.17,441.0,0.013513513513513514,0
12457,53,4,1419.93,36,641,254,354.9825,160.25,0.015748031496062992,0
12458,104,3,1077.01,57,745,307,359.00333333333333,248.33333333333334,0.009771986970684038,0
12459,424,1,398.36,22,256,424,398.36,256.0,0.0023584905660377358,1
12460,275,1,296.65,17,168,275,296.65,168.0,0.0036363636363636364,1
12462,122,1,594.11,39,281,122,594.11,281.0,0.00819672131147541,0
12463,26,2,575.9499999999999,31,353,61,287.97499999999997,176.5,0.03278688524590164,0
12464,20,4,439.84999999999997,5,47,128,109.96249999999999,11.75,0.03125,0
12467,242,1,132.8,9,129,242,132.8,129.0,0.004132231404958678,1
12468,7,5,3238.74,126,2177,502,647.7479999999999,435.4,0.0099601593625498,1
12469,342,2,3070.54,76,2552,356,1535.27,1276.0,0.0056179775280898875,1
12470,509,1,211.95,23,95,509,211.95,95.0,0.0019646365422396855,1
12471,30,56,24975.17,186,11496,552,445.98517857142855,205.28571428571428,0.10144927536231885,0
12472,87,15,13277.32,324,8967,545,885.1546666666667,597.8,0.027522935779816515,0
