Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Cluster,RuleSegment,Segment,PCA1,PCA2
12346,326,3,77352.96,2,3,5,1,At Risk,VIP,1.551151688304512,1.6420109153266766
12347,2,8,5633.32,5,4,5,1,VIP,VIP,1.7683683140179636,-0.08851320919986568
12348,75,5,1658.3999999999999,3,4,4,4,Loyal Customer,Loyal Customer,0.7435190322184608,-0.2692653001557753
12349,19,3,3678.69,5,3,5,4,Loyal Customer,Loyal Customer,0.9166039053756494,-0.45296831375112645
12350,310,1,294.4,2,1,2,0,One-Time Buyer,Lost / Let Go,-1.4159811105796045,-0.18137218709553218
12351,375,1,300.93,2,1,2,0,One-Time Buyer,Lost / Let Go,-1.5582298094719107,0.09649339941011298
12352,36,9,1729.54,4,5,4,4,VIP,Loyal Customer,1.2456827338809933,-0.2183142536734093
12353,204,2,406.76,2,2,2,2,Lost / Let Go,One-Time Buyer,-0.7136228331974215,-0.3781411393538462
12354,232,1,1079.4,2,1,3,2,One-Time Buyer,One-Time Buyer,-0.6578639588896397,-0.16291763393516798
12355,214,2,947.61,2,2,3,3,Needs Attention,At Risk,-0.3621172072689834,-0.1117132345351439
12356,23,6,5611.73,4,4,5,4,VIP,Loyal Customer,1.5245421103222068,-0.10152039138496928
12357,33,2,17437.66,4,2,5,4,New Customer,Loyal Customer,1.3537272449792324,-0.09487367631815395
12358,2,5,3447.07,5,4,5,4,VIP,Loyal Customer,1.2389066246610445,-0.38026971708652935
12359,58,10,8873.39,4,5,5,1,VIP,VIP,1.9932907453469926,0.3464541782290148
12360,52,6,3612.89,4,4,5,4,VIP,Loyal Customer,1.261270769137891,-0.09724372344759151
12361,287,4,451.25,2,3,2,3,At Risk,At Risk,-0.46932893980568324,0.19980561026916477
12362,3,10,4737.23,5,5,5,1,VIP,VIP,1.8432525293797715,-0.050647509333108284
12363,110,2,552.0,3,2,2,2,Needs Attention,One-Time Buyer,-0.3585901310941145,-0.6905278402220036
12364,8,4,1208.1,5,3,3,4,Loyal Customer,Loyal Customer,0.6195515402185356,-0.7063501341759335
12365,291,1,320.69,2,1,2,2,One-Time Buyer,One-Time Buyer,-1.3337078122018347,-0.2382173427107809
12366,634,1,500.24,1,1,2,0,One-Time Buyer,Lost / Let Go,-1.938656701368441,1.3153315314671292
